place_id,name,category,sub_category,latitude,longitude,address,vicinity,rating,review_count,website,phone,price_level,type,is_operational,search_zone,search_keyword,is_open_now,timestamp
ChIJu19lbADxaS4RBCwFH3AjPX4,Loading dock ranch market district 8,Affluence_Proxy,Premium_Supermarket,-6.2282042,106.8070892,"District 8 SCBD, PROSPERITY TOWER, F No.18, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190, Indonesia","District 8 SCBD, PROSPERITY TOWER, F No.18, Senayan, Kota Jakarta Selatan",,0,,,,,True,Kemang_Demo,Ranch Market,,2025-08-05T01:31:51.766669
ChIJHyK2lFzxaS4RJMDSGF1AdcM,Sixhill Partner PODS AUTHENTIC - Sudirman (Gedung Astha Ranch Market),Affluence_Proxy,Premium_Supermarket,-6.2287255,106.8068933,"SCBD, District 8, Jl. Jend. Sudirman kav 52-53, RT.8/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190, Indonesia","SCBD, District 8, Jl. Jend. Sudirman kav 52-53, RT.8/RW.3, Senayan, Kota Jakarta Selatan",,0,,,,,True,Kemang_Demo,Ranch Market,False,2025-08-05T01:31:52.255868
ChIJs7RxMgDzaS4Rk62psqz63fI,Ranch Market Lotte Mall,Affluence_Proxy,Premium_Supermarket,-6.223853699999999,106.8231817,"Jl. Prof. DR. Satrio No.18, RT.18/RW.4, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940, Indonesia","Jl. Prof. DR. Satrio No.18, RT.18/RW.4, Kuningan, Karet Kuningan, Kota Jakarta Selatan",5,2,,,,,True,Kemang_Demo,Ranch Market,,2025-08-05T01:31:50.286552
ChIJx3YbYwDxaS4RTfRm_lpNrX0,Heirloom Greek Yogurt - Kemang (Ranch Market),Affluence_Proxy,Premium_Supermarket,-6.264253699999999,106.815586,"Jl. Kemang Raya No.66 68, RT.8/RW.2, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730, Indonesia","Ranch Market Kemang, Jl. Kemang Raya No.66 68, RT.8/RW.2, Bangka, Kota Jakarta Selatan",5,1,,,,,True,Kemang_Demo,Ranch Market,False,2025-08-05T01:31:50.957306
ChIJ44eO6WbxaS4RE1j7jLLIo_s,Vinyard Ranch Market Kemang,Affluence_Proxy,Premium_Supermarket,-6.264244499999999,106.8155793,"Jl. Kemang Raya No.66, RT.8/RW.2, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730, Indonesia","Ranch Market Kemang, Jl. Kemang Raya No.66, RT.8/RW.2, Bangka, Kota Jakarta Selatan",4.7,23,http://vinyard.com/,0811-8568-877,,,True,Kemang_Demo,Ranch Market,False,2025-08-05T01:31:52.106685
ChIJj-YZ0hTtaS4R_7gdLbrH-e4,De Entrance Arkadia,Affluence_Proxy,Premium_Supermarket,-6.3003864,106.8336377,"Arkadia Green Park, Jl. TB Simatupang No.Kav. 88, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520, Indonesia","Arkadia Green Park, Perkantoran Hijau Arkadia, Jl. TB Simatupang No.Kav. 88, Kebagusan, Kota Jakarta Selatan",4.6,3581,http://www.deentrancearkadia.com/,(021) 7827610,$$,,True,Kemang_Demo,Ranch Market,False,2025-08-05T01:31:51.935961
ChIJVTz5Zh_uaS4RTB35HRQxsG8,Farmers Market - One Belpark Mall,Affluence_Proxy,Premium_Supermarket,-6.304399699999999,106.7949254,"LG Floor No.1 Pondok Labu, Cilandak, Jl. RS. Fatmawati Raya, RT.1/RW.1, Pd. Labu, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12450, Indonesia","LG Floor No.1 Pondok Labu, Cilandak, Jl. RS. Fatmawati Raya, RT.1/RW.1, Pd. Labu, Kota Jakarta Selatan",4.6,933,,0813-8950-2307,,,True,Kemang_Demo,Ranch Market,False,2025-08-05T01:31:52.443795
ChIJT4AQHFHxaS4RX4nom-4-Lm0,Kem Chicks Pacific Place,Affluence_Proxy,Premium_Supermarket,-6.2244806,106.8096616,"Pacific Place Lt. LG-99 SCBD Lot 3&5, Jalan Jend. Sudirman No.52-53, Senayan, Kebayoran Baru, RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190, Indonesia","Pacific Place Lt. LG-99 SCBD Lot 3&5, Jalan Jend. Sudirman No.52-53, Senayan, Kebayoran Baru, RT.5/RW.3, Senayan, Kota Jakarta Selatan",4.6,2973,,(021) 57973435,,,True,Kemang_Demo,Ranch Market,False,2025-08-05T01:31:52.617617
ChIJSzwo16r2aS4RU61M1tjQ_E4,GrandLucky Superstore SCBD,Affluence_Proxy,Premium_Supermarket,-6.226909999999999,106.8059153,"Kawasan Niaga Terpadu Sudirman (SCBD, Jl. Jenderal Sudirman LOT-12, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190, Indonesia","Kawasan Niaga Terpadu Sudirman (SCBD, Jl. Jenderal Sudirman LOT-12, Senayan, Kota Jakarta Selatan",4.6,15874,http://www.grandlucky.co.id/,0851-8311-8632,,,True,Kemang_Demo,Ranch Market,False,2025-08-05T01:31:52.968365
ChIJ91zqR3HxaS4RHn78X_ccfyI,Ranch Market - Dharmawangsa Square,Affluence_Proxy,Premium_Supermarket,-6.252685,106.8014196,"Jl. Dharmawangsa VI Melawai Kebayoran Baru Jakarta Selatan DKI Jakarta RT.5, 5, RT.5/RW.1, Pulo, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160, Indonesia","Jl. Dharmawangsa VI Melawai Kebayoran Baru Jakarta Selatan DKI Jakarta RT.5, 5, RT.5/RW.1, Pulo, Kota Jakarta Selatan",4.5,1037,http://www.ranchmarket.co.id/,(021) 72786480,,,True,Kemang_Demo,Ranch Market,False,2025-08-05T01:31:50.119143
