place_id,name,category,sub_category,latitude,longitude,address,vicinity,rating,review_count,website,phone,price_level,types,is_operational,search_zone,search_keyword,is_open_now,timestamp
ChIJx3YbYwDxaS4RTfRm_lpNrX0,Heirloom Greek Yogurt - Kemang (Ranch Market),Affluence_Proxy,Premium_Supermarket,-6.264253699999999,106.815586,"Jl. Kemang Raya No.66 68, RT.8/RW.2, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730, Indonesia","Ranch Market Kemang, Jl. Kemang Raya No.66 68, RT.8/RW.2, Bangka, Kota Jakarta Selatan",5.0,1,,,,"point_of_interest, store, food, establishment",True,Fix_Test,Ranch Market,False,2025-08-05T01:42:22.242679
ChIJ44eO6WbxaS4RE1j7jLLIo_s,Vinyard Ranch Market Kemang,Affluence_Proxy,Premium_Supermarket,-6.264244499999999,106.8155793,"Jl. Kemang Raya No.66, RT.8/RW.2, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730, Indonesia","Ranch Market Kemang, Jl. Kemang Raya No.66, RT.8/RW.2, Bangka, Kota Jakarta Selatan",4.7,23,http://vinyard.com/,0811-8568-877,,"supermarket, point_of_interest, grocery_or_supermarket, store, food, establishment",True,Fix_Test,Ranch Market,False,2025-08-05T01:42:22.687772
ChIJ91zqR3HxaS4RHn78X_ccfyI,Ranch Market - Dharmawangsa Square,Affluence_Proxy,Premium_Supermarket,-6.252685,106.8014196,"Jl. Dharmawangsa VI Melawai Kebayoran Baru Jakarta Selatan DKI Jakarta RT.5, 5, RT.5/RW.1, Pulo, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160, Indonesia","Jl. Dharmawangsa VI Melawai Kebayoran Baru Jakarta Selatan DKI Jakarta RT.5, 5, RT.5/RW.1, Pulo, Kota Jakarta Selatan",4.5,1037,http://www.ranchmarket.co.id/,(021) 72786480,,"supermarket, point_of_interest, grocery_or_supermarket, store, food, establishment",True,Fix_Test,Ranch Market,False,2025-08-05T01:42:21.940843
ChIJewaZxa7xaS4RBBClcpcbgYo,Ranch Market Kemang,Affluence_Proxy,Premium_Supermarket,-6.264198299999999,106.8159772,"Jl. Kemang Raya No.66 68, RT.8/RW.2, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730, Indonesia","Jl. Kemang Raya No.66 68, RT.8/RW.2, Bangka, South Jakarta City",4.5,694,https://www.ranchmarket.co.id/,0813-8221-7182,,"supermarket, point_of_interest, grocery_or_supermarket, store, food, establishment",True,Fix_Test,Ranch Market,False,2025-08-05T01:42:22.087577
ChIJITzpQKbxaS4Rty7RuJqLjsk,Yogurt Heavenlyblush ( Ranch Market Pondok Indah ),Affluence_Proxy,Premium_Supermarket,-6.2626973,106.7840553,"Jl. Sultan Iskandar Muda No.21 1, RT.1/RW.16, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310, Indonesia","Jl. Sultan Iskandar Muda No.21 1, RT.1/RW.16, Pd. Pinang, Kota Jakarta Selatan",4.4,8,http://www.heavenlyblush.com/,(021) 25675903,,"shopping_mall, point_of_interest, grocery_or_supermarket, store, food, establishment",False,Fix_Test,Ranch Market,,2025-08-05T01:42:22.544100
ChIJO1x39abxaS4RvdaxzR-1yrA,Ranch Market Pondok Indah,Affluence_Proxy,Premium_Supermarket,-6.2630364,106.7847026,"RT.1, South Gandaria, Cilandak, South Jakarta City, Jakarta 12310, Indonesia","RT.1, South Gandaria, South Jakarta City",4.3,15,,,,"transit_station, point_of_interest, establishment",True,Fix_Test,Ranch Market,,2025-08-05T01:42:22.390187
ChIJbe0CE17zaS4RAmx0CCIAiFw,Praktik Dokter Hewan Ramzi CA Ragunan dkk,Competitor,Clinic_Only,-6.2858943,106.8301357,"Jl. Raya Ragunan No.19 Lt. 2 & 3, RT.2/RW.7, Jati Padang, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520, Indonesia","Jl. Raya Ragunan No.19 Lt. 2 & 3, RT.2/RW.7, Jati Padang, Kota Jakarta Selatan",5.0,28,,0813-1815-3315,,"veterinary_care, point_of_interest, establishment",True,Fix_Test,klinik hewan,False,2025-08-05T01:42:24.021901
ChIJB2pIeuPxaS4Rnby5tCXOJ4s,Andifa Vet Clinic (Klinik Hewan Jakarta Selatan),Competitor,Clinic_Only,-6.2835154,106.8070842,"Jl. Pangeran Antasari No.18, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430, Indonesia","Jl. Pangeran Antasari No.18, Cilandak Bar., Kota Jakarta Selatan",4.9,148,https://wa.me/message/X3Z5XUP6KEZ6D1,0821-2221-1918,,"veterinary_care, point_of_interest, establishment",True,Fix_Test,klinik hewan,False,2025-08-05T01:42:23.567103
ChIJ5aoxT5_xaS4RusxBMI47xxk,"Veterinary Doctor Practice by drh. Sigit Witjaksono, M.Biomed",Competitor,Clinic_Only,-6.263556599999999,106.7950853,"Jl. H. Nawi Raya No.20 4, RT.4/RW.7, Gandaria Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140, Indonesia","Jl. H. Nawi Raya No.20 4, RT.4/RW.7, Gandaria Utara, Kota Jakarta Selatan",4.8,272,https://petpintar.com/alamat/veterinary-care/jakarta-selatan/praktek-dokter-hewan-drh-sigit-witjaksono-m-biomed,(021) 7247552,,"veterinary_care, point_of_interest, establishment",True,Fix_Test,klinik hewan,False,2025-08-05T01:42:23.722508
ChIJoVLlEmnxaS4R0U1ZbC2ZwqM,Petlove Center,Competitor,Clinic_Only,-6.2417748,106.8017523,"Jl. Falatehan I No.30, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160, Indonesia","Jl. Falatehan I No.30, Melawai, Kota Jakarta Selatan",4.7,450,http://www.petlovecenter.com/,0811-812-515,,"veterinary_care, point_of_interest, store, establishment",True,Fix_Test,klinik hewan,False,2025-08-05T01:42:23.414683
